UID          PID    PPID  C STIME TTY          TIME CMD
root         386       2  0 13:07 ?        00:00:00 [kworker/61:0H-events_highpri]
root         387       2  0 13:07 ?        00:00:00 [cpuhp/62]
root         388       2  0 13:07 ?        00:00:00 [idle_inject/62]
root         389       2  0 13:07 ?        00:00:01 [migration/62]
root         390       2  0 13:07 ?        00:00:00 [ksoftirqd/62]
root         392       2  0 13:07 ?        00:00:00 [kworker/62:0H-events_highpri]
root         393       2  0 13:07 ?        00:00:00 [cpuhp/63]
root         394       2  0 13:07 ?        00:00:00 [idle_inject/63]
root         395       2  0 13:07 ?        00:00:01 [migration/63]
root         396       2  0 13:07 ?        00:00:00 [ksoftirqd/63]
root         398       2  0 13:07 ?        00:00:00 [kworker/63:0H-kblockd]
root         399       2  0 13:07 ?        00:00:00 [cpuhp/64]
root         400       2  0 13:07 ?        00:00:00 [idle_inject/64]
root         401       2  0 13:07 ?        00:00:01 [migration/64]
root         402       2  0 13:07 ?        00:00:00 [ksoftirqd/64]
root         404       2  0 13:07 ?        00:00:00 [kworker/64:0H-events_highpri]
root         405       2  0 13:07 ?        00:00:00 [cpuhp/65]
root         406       2  0 13:07 ?        00:00:00 [idle_inject/65]
root         407       2  0 13:07 ?        00:00:01 [migration/65]
root         408       2  0 13:07 ?        00:00:00 [ksoftirqd/65]
root         410       2  0 13:07 ?        00:00:00 [kworker/65:0H-events_highpri]
root         411       2  0 13:07 ?        00:00:00 [cpuhp/66]
root         412       2  0 13:07 ?        00:00:00 [idle_inject/66]
root         413       2  0 13:07 ?        00:00:01 [migration/66]
root         414       2  0 13:07 ?        00:00:00 [ksoftirqd/66]
root         416       2  0 13:07 ?        00:00:00 [kworker/66:0H-events_highpri]
root         417       2  0 13:07 ?        00:00:00 [cpuhp/67]
root         418       2  0 13:07 ?        00:00:00 [idle_inject/67]
root         419       2  0 13:07 ?        00:00:01 [migration/67]
root         420       2  0 13:07 ?        00:00:00 [ksoftirqd/67]
root         422       2  0 13:07 ?        00:00:00 [kworker/67:0H-events_highpri]
root         423       2  0 13:07 ?        00:00:00 [cpuhp/68]
root         424       2  0 13:07 ?        00:00:00 [idle_inject/68]
root         425       2  0 13:07 ?        00:00:01 [migration/68]
root         426       2  0 13:07 ?        00:00:00 [ksoftirqd/68]
root         428       2  0 13:07 ?        00:00:00 [kworker/68:0H-events_highpri]
root         429       2  0 13:07 ?        00:00:00 [cpuhp/69]
root         430       2  0 13:07 ?        00:00:00 [idle_inject/69]
root         431       2  0 13:07 ?        00:00:01 [migration/69]
root         432       2  0 13:07 ?        00:00:00 [ksoftirqd/69]
root         434       2  0 13:07 ?        00:00:00 [kworker/69:0H-events_highpri]
root         435       2  0 13:07 ?        00:00:00 [cpuhp/70]
root         436       2  0 13:07 ?        00:00:00 [idle_inject/70]
root         437       2  0 13:07 ?        00:00:01 [migration/70]
root         438       2  0 13:07 ?        00:00:00 [ksoftirqd/70]
root         440       2  0 13:07 ?        00:00:00 [kworker/70:0H-events_highpri]
root         441       2  0 13:07 ?        00:00:00 [cpuhp/71]
root         442       2  0 13:07 ?        00:00:00 [idle_inject/71]
root         443       2  0 13:07 ?        00:00:01 [migration/71]
root         444       2  0 13:07 ?        00:00:00 [ksoftirqd/71]
root         446       2  0 13:07 ?        00:00:00 [kworker/71:0H-events_highpri]
root         447       2  0 13:07 ?        00:00:00 [cpuhp/72]
root         448       2  0 13:07 ?        00:00:00 [idle_inject/72]
root         449       2  0 13:07 ?        00:00:01 [migration/72]
root         450       2  0 13:07 ?        00:00:00 [ksoftirqd/72]
root         452       2  0 13:07 ?        00:00:00 [kworker/72:0H-events_highpri]
root         453       2  0 13:07 ?        00:00:00 [cpuhp/73]
root         454       2  0 13:07 ?        00:00:00 [idle_inject/73]
root         455       2  0 13:07 ?        00:00:01 [migration/73]
root         456       2  0 13:07 ?        00:00:00 [ksoftirqd/73]
root         458       2  0 13:07 ?        00:00:00 [kworker/73:0H-events_highpri]
root         459       2  0 13:07 ?        00:00:00 [cpuhp/74]
root         460       2  0 13:07 ?        00:00:00 [idle_inject/74]
root         461       2  0 13:07 ?        00:00:01 [migration/74]
root         462       2  0 13:07 ?        00:00:00 [ksoftirqd/74]
root         464       2  0 13:07 ?        00:00:00 [kworker/74:0H-kblockd]
root         465       2  0 13:07 ?        00:00:00 [cpuhp/75]
root         466       2  0 13:07 ?        00:00:00 [idle_inject/75]
root         467       2  0 13:07 ?        00:00:01 [migration/75]
root         468       2  0 13:07 ?        00:00:00 [ksoftirqd/75]
root         470       2  0 13:07 ?        00:00:00 [kworker/75:0H-kblockd]
root         471       2  0 13:07 ?        00:00:00 [cpuhp/76]
root         472       2  0 13:07 ?        00:00:00 [idle_inject/76]
root         473       2  0 13:07 ?        00:00:01 [migration/76]
root         474       2  0 13:07 ?        00:00:00 [ksoftirqd/76]
root         476       2  0 13:07 ?        00:00:00 [kworker/76:0H-kblockd]
root         477       2  0 13:07 ?        00:00:00 [cpuhp/77]
root         478       2  0 13:07 ?        00:00:00 [idle_inject/77]
root         479       2  0 13:07 ?        00:00:01 [migration/77]
root         480       2  0 13:07 ?        00:00:00 [ksoftirqd/77]
root         482       2  0 13:07 ?        00:00:00 [kworker/77:0H-kblockd]
root         483       2  0 13:07 ?        00:00:00 [cpuhp/78]
root         484       2  0 13:07 ?        00:00:00 [idle_inject/78]
root         485       2  0 13:07 ?        00:00:01 [migration/78]
root         486       2  0 13:07 ?        00:00:00 [ksoftirqd/78]
root         488       2  0 13:07 ?        00:00:00 [kworker/78:0H-events_highpri]
root         489       2  0 13:07 ?        00:00:00 [cpuhp/79]
root         490       2  0 13:07 ?        00:00:00 [idle_inject/79]
root         491       2  0 13:07 ?        00:00:01 [migration/79]
root         492       2  0 13:07 ?        00:00:00 [ksoftirqd/79]
root         494       2  0 13:07 ?        00:00:00 [kworker/79:0H-kblockd]
root         495       2  0 13:07 ?        00:00:00 [cpuhp/80]
root         496       2  0 13:07 ?        00:00:00 [idle_inject/80]
root         497       2  0 13:07 ?        00:00:01 [migration/80]
root         498       2  0 13:07 ?        00:00:00 [ksoftirqd/80]
root         500       2  0 13:07 ?        00:00:00 [kworker/80:0H-events_highpri]
root         501       2  0 13:07 ?        00:00:00 [cpuhp/81]
root         502       2  0 13:07 ?        00:00:00 [idle_inject/81]
root         503       2  0 13:07 ?        00:00:01 [migration/81]
root         504       2  0 13:07 ?        00:00:00 [ksoftirqd/81]
root         506       2  0 13:07 ?        00:00:00 [kworker/81:0H-events_highpri]
root         507       2  0 13:07 ?        00:00:00 [cpuhp/82]
root         508       2  0 13:07 ?        00:00:00 [idle_inject/82]
root         509       2  0 13:07 ?        00:00:01 [migration/82]
root         510       2  0 13:07 ?        00:00:00 [ksoftirqd/82]
root         512       2  0 13:07 ?        00:00:00 [kworker/82:0H-events_highpri]
root         513       2  0 13:07 ?        00:00:00 [cpuhp/83]
root         514       2  0 13:07 ?        00:00:00 [idle_inject/83]
root         515       2  0 13:07 ?        00:00:01 [migration/83]
root         516       2  0 13:07 ?        00:00:00 [ksoftirqd/83]
root         518       2  0 13:07 ?        00:00:00 [kworker/83:0H-events_highpri]
root         519       2  0 13:07 ?        00:00:00 [cpuhp/84]
root         520       2  0 13:07 ?        00:00:00 [idle_inject/84]
